,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Utilization_Ratio,Total_Trans_Amt,Total_Trans_Ct,avg_spend,cluster_label,Education_Level,Card_Category
497,35,6,3,13768.0,763,0.055,1390.0,44,31.59090909090909,2,High School,Blue
500,36,6,5,2786.0,1628,0.584,2853.0,55,51.872727272727275,2,Unknown,Blue
501,29,5,3,7535.0,2517,0.334,1655.0,41,40.36585365853659,2,Graduate,Blue
502,45,4,3,3380.0,1655,0.49,1636.0,58,28.20689655172414,2,College,Blue
503,36,4,4,3337.0,795,0.238,3951.0,68,58.10294117647059,2,High School,Blue
510,32,3,3,6425.0,915,0.142,2036.0,44,46.27272727272727,2,Graduate,Blue
511,42,3,2,4002.0,1669,0.417,2024.0,53,38.18867924528302,2,College,Blue
513,43,4,3,31258.0,1518,0.049,2866.0,53,54.075471698113205,2,High School,Blue
515,30,3,4,11638.0,926,0.08,882.0899999999999,19,46.425789473684205,2,College,Blue
516,31,5,3,2352.0,0,0.0,2344.0,48,48.833333333333336,2,High School,Blue
519,36,4,3,5344.0,1582,0.296,1984.0,36,55.111111111111114,2,High School,Blue
520,37,6,3,27310.0,0,0.0,1537.0,41,37.48780487804878,2,High School,Blue
522,36,5,3,5399.0,1723,0.319,1292.0,34,38.0,2,Graduate,Blue
524,34,5,4,27732.0,1623,0.059,1413.0,31,45.58064516129032,2,Unknown,Blue
530,35,3,3,5589.0,1430,0.256,1570.0,31,50.645161290322584,2,Unknown,Blue
531,33,5,3,9620.0,2033,0.211,1735.0,43,40.348837209302324,2,Graduate,Blue
533,33,4,3,16059.0,618,0.038,1357.0,26,52.19230769230769,2,Graduate,Blue
538,44,6,3,3456.0,2219,0.642,1332.0,24,55.5,2,High School,Blue
540,44,6,3,4153.0,0,0.0,1771.0,41,43.19512195121951,2,High School,Blue
543,40,6,3,3326.0,1442,0.434,1627.0,54,30.12962962962963,2,Uneducated,Blue
547,36,5,3,7558.0,1364,0.18,3676.0,67,54.865671641791046,2,Unknown,Blue
551,36,5,3,4134.0,1130,0.273,2475.0,52,47.59615384615385,2,Post-Graduate,Blue
555,36,6,2,3586.0,1414,0.394,2780.0,57,48.771929824561404,2,High School,Blue
559,33,1,4,32938.0,2089,0.063,1137.0,26,43.73076923076923,2,Uneducated,Blue
560,55,3,5,6184.0,0,0.0,1712.0,27,63.407407407407405,2,Graduate,Blue
564,36,4,3,2584.0,0,0.0,1843.0,28,65.82142857142857,2,Post-Graduate,Blue
567,34,3,4,1818.0,0,0.0,2054.0,55,37.345454545454544,2,High School,Blue
568,41,3,3,16033.0,560,0.035,1158.0,31,37.354838709677416,2,Graduate,Blue
569,54,5,3,3213.0,2517,0.783,1855.0,39,47.56410256410256,2,Graduate,Blue
573,45,4,3,13126.0,2086,0.159,1836.0,37,49.62162162162162,2,Graduate,Blue
575,27,3,3,6338.0,2379,0.375,1715.0,39,43.97435897435897,2,College,Blue
582,34,4,3,2594.0,0,0.0,1457.0,43,33.883720930232556,2,Graduate,Blue
591,36,6,3,8500.0,2517,0.296,1618.0,37,43.729729729729726,2,High School,Blue
593,30,2,4,13662.0,0,0.0,882.0899999999999,22,40.095,2,Graduate,Blue
599,36,5,3,8083.0,0,0.0,3942.0,84,46.92857142857143,2,College,Blue
604,32,6,3,13719.0,1384,0.101,3774.0,63,59.904761904761905,2,Unknown,Silver
606,53,3,3,2084.0,1647,0.79,1597.0,37,43.16216216216216,2,Graduate,Blue
608,36,3,3,3992.0,1289,0.323,2181.0,32,68.15625,2,Graduate,Blue
611,36,3,3,9355.0,715,0.076,1138.0,38,29.94736842105263,2,High School,Blue
615,36,6,3,30210.0,1194,0.04,3503.0,65,53.89230769230769,2,High School,Blue
616,36,5,3,7866.0,0,0.0,2843.0,53,53.64150943396226,2,High School,Blue
618,36,3,3,12159.0,1665,0.137,1426.0,34,41.94117647058823,2,College,Blue
621,49,3,4,4310.0,2229,0.517,1645.0,33,49.84848484848485,2,Unknown,Blue
622,36,3,3,11450.0,2129,0.186,2197.0,45,48.82222222222222,2,Uneducated,Blue
626,49,6,4,1654.0,1253,0.758,1887.0,60,31.45,2,Graduate,Blue
627,46,4,3,2798.0,1256,0.449,2631.0,55,47.836363636363636,2,Graduate,Blue
629,30,3,3,2617.0,1010,0.386,2003.0,47,42.61702127659574,2,College,Blue
631,36,6,3,11948.0,1281,0.107,2792.0,51,54.745098039215684,2,High School,Blue
642,47,3,4,1438.3,0,0.0,1154.0,22,52.45454545454545,2,Post-Graduate,Blue
647,36,3,4,2351.0,0,0.0,1593.0,35,45.51428571428571,2,Unknown,Blue
649,42,5,5,6514.0,978,0.15,3084.0,63,48.95238095238095,2,Graduate,Blue
651,50,6,3,2701.0,1572,0.582,1469.0,36,40.80555555555556,2,High School,Blue
652,36,3,3,5335.0,996,0.187,1454.0,43,33.81395348837209,2,Graduate,Blue
656,36,5,3,7959.0,998,0.125,1855.0,29,63.96551724137931,2,Uneducated,Blue
659,36,3,4,2703.0,1256,0.465,2111.0,29,72.79310344827586,2,College,Blue
661,36,4,3,5931.0,0,0.0,2730.0,71,38.45070422535211,2,High School,Blue
664,55,3,3,3838.0,1736,0.452,1467.0,29,50.58620689655172,2,High School,Blue
665,36,3,3,4247.0,0,0.0,882.0899999999999,19,46.425789473684205,2,Uneducated,Blue
670,46,3,3,3312.0,1624,0.49,1973.0,55,35.872727272727275,2,Doctorate,Blue
671,36,2,3,34516.0,0,0.0,1353.0,40,33.825,2,College,Silver
676,35,6,3,17884.0,2096,0.117,2031.0,49,41.44897959183673,2,College,Blue
683,36,5,3,10110.0,1229,0.122,4063.0,74,54.9054054054054,2,Graduate,Silver
684,35,6,3,4930.0,0,0.0,3343.0,77,43.41558441558441,2,Graduate,Blue
686,45,5,2,1438.3,648,0.451,1267.0,27,46.925925925925924,2,Doctorate,Blue
687,48,6,3,2585.0,1207,0.467,1590.0,33,48.18181818181818,2,Graduate,Blue
692,53,5,3,4161.0,2491,0.599,1203.0,30,40.1,2,Graduate,Blue
694,27,3,3,4815.0,1591,0.33,2501.0,36,69.47222222222223,2,Graduate,Blue
698,36,5,3,34516.0,1900,0.055,1668.0,36,46.333333333333336,2,Unknown,Silver
701,40,4,3,12875.0,1119,0.087,1624.0,40,40.6,2,Doctorate,Blue
702,36,1,4,8389.0,1960,0.234,1334.0,38,35.10526315789474,2,High School,Blue
704,40,6,2,8307.0,2517,0.303,2293.0,36,63.69444444444444,2,Graduate,Blue
707,36,6,4,4230.0,1366,0.323,1480.0,35,42.285714285714285,2,Unknown,Blue
711,45,6,3,14270.0,0,0.0,1222.0,37,33.027027027027025,2,College,Blue
714,38,4,3,4894.0,1505,0.308,3277.0,67,48.91044776119403,2,College,Blue
725,48,4,3,2267.0,1469,0.648,3709.0,64,57.953125,2,Doctorate,Blue
731,36,6,3,7140.0,0,0.0,916.0,19,48.21052631578947,2,Graduate,Blue
733,41,1,3,34516.0,2408,0.07,1187.0,40,29.675,2,Uneducated,Blue
738,36,4,3,3877.0,1495,0.386,1942.0,42,46.23809523809524,2,College,Blue
742,30,4,3,26556.0,1583,0.06,3168.0,73,43.397260273972606,2,High School,Silver
746,36,4,5,4980.0,906,0.182,2273.0,66,34.43939393939394,2,Doctorate,Blue
747,48,3,3,3156.0,2155,0.683,1376.0,44,31.272727272727273,2,Post-Graduate,Blue
750,36,3,2,6543.0,2260,0.345,1519.0,31,49.0,2,High School,Blue
754,49,5,4,5905.0,726,0.123,3982.0,65,61.261538461538464,2,Doctorate,Blue
757,36,3,2,1575.0,592,0.376,882.0899999999999,19,46.425789473684205,2,Graduate,Blue
762,36,2,3,1438.3,312,0.217,1786.0,26,68.6923076923077,2,Graduate,Blue
769,36,3,2,6859.0,2489,0.363,1617.0,26,62.19230769230769,2,Uneducated,Blue
771,36,1,3,8925.0,168,0.019,882.0899999999999,19,46.425789473684205,2,Unknown,Blue
773,41,6,3,3401.0,1713,0.504,1924.0,54,35.629629629629626,2,High School,Blue
776,35,3,5,5438.0,2214,0.407,5029.0,75,67.05333333333333,2,Graduate,Blue
777,39,3,3,18352.0,1509,0.082,1454.0,29,50.13793103448276,2,College,Blue
789,32,3,3,34010.0,1340,0.039,1739.0,39,44.58974358974359,2,Uneducated,Blue
790,36,3,3,24904.0,0,0.0,5176.0,71,72.90140845070422,2,Post-Graduate,Blue
791,55,6,3,2621.0,1858,0.709,2148.0,47,45.702127659574465,2,High School,Blue
793,45,5,3,2151.0,1163,0.541,2513.0,62,40.53225806451613,2,Uneducated,Blue
797,47,3,3,27347.0,719,0.026,4040.0,77,52.467532467532465,2,College,Blue
807,35,6,3,13650.0,1253,0.092,1703.0,53,32.132075471698116,2,Unknown,Blue
821,36,3,3,27175.0,775,0.029,3814.0,72,52.97222222222222,2,College,Blue
822,27,3,3,34516.0,1629,0.047,3448.0,53,65.05660377358491,2,Unknown,Blue
825,43,6,3,5882.0,2335,0.397,1380.0,30,46.0,2,Graduate,Blue
827,35,6,3,4505.0,1562,0.347,3968.0,68,58.35294117647059,2,Uneducated,Blue
829,36,5,3,5257.0,1572,0.299,2822.0,73,38.657534246575345,2,High School,Blue
833,40,2,5,2381.0,651,0.273,1920.0,46,41.73913043478261,2,High School,Blue
835,37,3,3,22127.0,1799,0.081,3591.0,63,57.0,2,Post-Graduate,Blue
839,30,6,3,19300.0,1181,0.061,2660.0,70,38.0,2,Doctorate,Blue
843,36,4,3,15202.0,1779,0.117,3143.0,60,52.38333333333333,2,Unknown,Blue
849,36,4,2,4396.0,1489,0.339,3942.0,69,57.130434782608695,2,Uneducated,Blue
856,43,3,4,13933.0,1019,0.073,3504.0,62,56.516129032258064,2,Unknown,Blue
858,31,4,3,5702.0,0,0.0,3928.0,75,52.373333333333335,2,Unknown,Blue
859,41,5,3,7570.0,1388,0.183,3849.0,70,54.98571428571429,2,Graduate,Blue
865,36,4,3,4465.0,703,0.157,4044.0,66,61.27272727272727,2,High School,Blue
867,34,4,3,26856.0,0,0.0,4222.0,75,56.29333333333334,2,Graduate,Blue
868,32,4,5,21756.0,0,0.0,3063.0,71,43.140845070422536,2,Uneducated,Blue
870,32,2,3,34516.0,2517,0.073,1727.0,35,49.34285714285714,2,Unknown,Gold
874,34,3,3,19110.0,2449,0.128,4478.0,76,58.921052631578945,2,Unknown,Blue
876,38,3,3,14265.0,1878,0.132,3982.0,58,68.65517241379311,2,Post-Graduate,Blue
878,32,6,3,4341.0,0,0.0,3825.0,63,60.714285714285715,2,Graduate,Blue
883,53,5,5,2192.0,1569,0.716,4010.0,79,50.75949367088607,2,Uneducated,Blue
887,42,3,3,9227.0,938,0.102,3948.0,74,53.351351351351354,2,Graduate,Blue
889,39,3,3,2046.0,0,0.0,3446.0,71,48.53521126760563,2,Unknown,Blue
890,42,6,3,18531.0,1548,0.084,2484.0,52,47.76923076923077,2,High School,Blue
895,39,3,3,4930.0,2227,0.452,4224.0,77,54.857142857142854,2,Graduate,Blue
902,30,6,3,1892.0,1049,0.554,4558.0,60,75.96666666666667,2,Unknown,Blue
907,34,6,3,12050.0,1821,0.151,2381.0,40,59.525,2,College,Blue
909,39,4,3,12222.0,1260,0.103,3418.0,78,43.82051282051282,2,Graduate,Silver
921,40,4,2,4255.0,1681,0.395,3453.0,72,47.958333333333336,2,High School,Blue
926,42,3,4,17161.0,0,0.0,1898.0,42,45.19047619047619,2,Unknown,Silver
929,36,1,4,5662.0,1484,0.262,1693.0,25,67.72,2,Graduate,Blue
932,32,6,3,7260.0,713,0.098,4253.0,73,58.26027397260274,2,Unknown,Blue
934,33,5,4,11741.0,1560,0.133,2143.0,41,52.26829268292683,2,Graduate,Blue
935,37,4,3,11167.0,0,0.0,3848.0,74,52.0,2,College,Blue
942,49,6,5,4072.0,0,0.0,1966.0,43,45.72093023255814,2,College,Blue
943,48,3,3,34516.0,278,0.008,3029.0,49,61.816326530612244,2,Unknown,Blue
944,45,6,3,21358.0,1225,0.057,3646.0,77,47.35064935064935,2,Graduate,Silver
948,36,5,3,13220.0,848,0.064,3789.0,72,52.625,2,Uneducated,Blue
949,34,2,3,9080.0,2174,0.239,2098.0,46,45.608695652173914,2,Graduate,Blue
950,45,5,3,7563.0,1465,0.194,4175.0,67,62.3134328358209,2,High School,Blue
951,39,3,3,14973.0,0,0.0,4288.0,72,59.55555555555556,2,High School,Blue
953,42,3,5,6805.0,1448,0.213,3463.0,65,53.276923076923076,2,Unknown,Blue
956,31,5,3,3002.0,1002,0.334,2624.0,46,57.04347826086956,2,Uneducated,Blue
961,36,5,3,9132.0,800,0.088,3809.0,71,53.647887323943664,2,Unknown,Blue
964,39,3,2,1629.0,978,0.6,3766.0,83,45.373493975903614,2,Unknown,Blue
966,43,1,3,13720.0,0,0.0,1830.0,36,50.833333333333336,2,Uneducated,Blue
967,36,4,5,2952.0,2517,0.853,3830.0,77,49.74025974025974,2,Graduate,Blue
969,44,5,3,1737.0,813,0.468,3669.0,58,63.258620689655174,2,Doctorate,Blue
970,41,2,3,7277.0,504,0.069,2356.0,40,58.9,2,Doctorate,Blue
974,35,6,3,6327.0,0,0.0,3653.0,77,47.44155844155844,2,Graduate,Blue
978,35,3,3,11851.0,0,0.0,4498.0,73,61.61643835616438,2,High School,Blue
979,31,3,3,11558.0,0,0.0,2220.0,53,41.886792452830186,2,Doctorate,Blue
980,36,3,3,1438.3,0,0.0,1598.0,40,39.95,2,Doctorate,Blue
985,36,6,3,7587.0,0,0.0,3157.0,59,53.50847457627118,2,Unknown,Blue
992,33,4,3,13349.0,0,0.0,3534.0,78,45.30769230769231,2,High School,Blue
993,33,3,5,31458.0,1202,0.038,4202.0,66,63.666666666666664,2,Graduate,Blue
997,36,4,3,34516.0,1893,0.055,3639.0,76,47.88157894736842,2,Graduate,Silver
998,29,5,3,13126.0,0,0.0,4496.0,61,73.70491803278688,2,Uneducated,Blue
